DataSeriesID,SI_Mass,LnMass,Locomotor Trait,TraitValue,TempTraitValue,Temperature,TempKelvin,1/kT,TempType,Environment,TaxaID,Kingdom,Phylum,Class,Order,Family,Genus,Species,CommonName,Thermy,TrophicGroup
2920,11,2.39789527279837,Maximum Speed,18.3,2.85784638978832,37,310.15,37.4172720485064,Body-Direct,Air,Carduelis spinus,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,spinus,European siskin,endotherm,herbivore
2921,12,2.484906649788,Maximum Acceleration,2.976,0.464751412896724,37,310.15,37.4172720485064,Body-Direct,Air,Acrocephalus schoenobaenus,Animalia,Chordata,Aves,Passeriformes,Sylvioidea,Acrocephalus,schoenobaenus,Sedge warbler,endotherm,carnivore
2922,12,2.484906649788,Routine Speed,2.141,0.334352410958295,37,310.15,37.4172720485064,Body-Direct,Air,Acrocephalus schoenobaenus,Animalia,Chordata,Aves,Passeriformes,Sylvioidea,Acrocephalus,schoenobaenus,Sedge warbler,endotherm,carnivore
2923,1980,7.59085212368858,Maximum Acceleration,8.11,1.26651006673133,37,310.15,37.4172720485064,Body-Direct,Air,Phalacrocorax carbo,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,carbo,Imperial Cormorant,endotherm,carnivore
2924,20.72,3.03109941739128,Maximum Acceleration,11.41,1.78185941570955,37,310.15,37.4172720485064,Body-Direct,Air,Tachycineta bicolor,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,bicolor,Tree swallow,endotherm,carnivore
2925,20.72,3.03109941739128,Routine Speed,8.32,1.29930502530267,37,310.15,37.4172720485064,Body-Direct,Air,Tachycineta bicolor,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,bicolor,Tree swallow,endotherm,carnivore
2926,4.5,1.50407739677627,Maximum Acceleration,77.68,12.1310113420086,37,310.15,37.4172720485064,Body-Direct,Air,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,anna,Anna's Hummingbird,endotherm,herbivore
2927,4.5,1.50407739677627,Maximum Speed,24.82,3.87605177019378,37,310.15,37.4172720485064,Body-Direct,Air,Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,anna,Anna's Hummingbird,endotherm,herbivore
2928,23.2,3.14415227867226,Maximum Speed,35.75,5.58295128059741,37,310.15,37.4172720485064,Body-Direct,Air,Oenanthe,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,NA,Wheatear,endotherm,carnivore
2929,19.9,2.99071973173045,Maximum Speed,31.6,4.93486043263995,37,310.15,37.4172720485064,Body-Direct,Air,Anthus pratensis,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,pratensis,Meadow pipet,endotherm,omnivore
2930,19.7,2.98061863574394,Maximum Speed,31.8,4.96609372651742,37,310.15,37.4172720485064,Body-Direct,Air,Luscinia megarhynchos,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia,megarhynchos,Common nightingale,endotherm,carnivore
2931,18.2,2.90142159408275,Maximum Speed,45.65,7.12899932753208,37,310.15,37.4172720485064,Body-Direct,Air,Hirundo rustica,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,rustica,Barn swallow,endotherm,carnivore
2932,18.2,2.90142159408275,Maximum Speed,38.4,5.99679242447386,37,310.15,37.4172720485064,Body-Direct,Air,Erithacus rubecula,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,rubecula,European robin,endotherm,carnivore
